Pathway	Genes of pathway	Enzymes of pathway	Accession
superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	PP_3598 // spuA // kauB // puuB // puuA-II // puuA-I // speA // speB // PP_4523 // sad-II // sad-I // gabD-II // prr // patD	"peptidase C26 // &gamma;-glutamyl-&gamma;-aminobutyrate hydrolase // 4-guanidinobutyraldehyde dehydrogenase // gamma-glutamylputrescine oxidase // glutamate-putrescine ligase // glutamate-putrescine ligase // biosynthetic arginine decarboxylase // agmatinase // agmatinase // NAD+-dependent succinate semialdehyde dehydrogenase // NAD+-dependent succinate semialdehyde dehydrogenase // succinate-semialdehyde dehydrogenase // gamma-aminobutyraldehyde dehydrogenase // medium chain aldehyde dehydrogenase"	PP_3598 // PP_2179 // PP_5278 // PP_2448 // PP_5299 // PP_2178 // PP_0567 // PP_2196 // PP_4523 // PP_3151 // PP_2488 // PP_4422 // PP_2801 // PP_1481
superpathway of lipopolysaccharide biosynthesis	kdsB // kdsC // kdsA-II // kdsA-I // PP_1806 // kdsD // waaF // waaG // waaP // waaC	3-deoxy-manno-octulosonate cytidylyltransferase // 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase // 2-dehydro-3-deoxyphosphooctonate aldolase // 2-dehydro-3-deoxyphosphooctonate aldolase // arabinose 5-phosphate isomerase // D-arabinose 5-phosphate isomerase // ADP-heptose:LPS heptosyltransferase II // lipopolysaccharide glucosyltransferase I // lipopolysaccharide core heptose (I) kinase // ADP-heptose--LPS heptosyltransferase	PP_1902 // PP_0956 // PP_1807 // PP_1611 // PP_1806 // PP_0957 // PP_0341 // PP_0343 // PP_0344 // PP_0342
superpathway of L-isoleucine biosynthesis I	aspC // tyrB // PP_4692 // lysC // asd1 // asd2 // hom // PP_0664 // thrB // thrC // PP_0662 // ilvD // ilvE // ilvC // ilvI // ilvH // PP_3365 // PP_1394 // PP_1157 // ilvA-II // PP_4430 // ilvA-I // PP_3191	aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase // aspartokinase // aspartate-semialdehyde dehydrogenase // homoserine dehydrogenase // homoserine dehydrogenase // homoserine kinase // threonine synthase // threonine synthase // dihydroxy-acid dehydratase // branched-chain-amino acid aminotransferase // ketol-acid reductoisomerase // acetolactate synthase // acetolactate synthase // acetolactate synthase large subunit // acetolactate synthase // threonine deaminase // threonine dehydratase // threonine deaminase // threonine ammonia-lyase/dehydratase	PP_3786 // PP_1972 // PP_4692 // PP_4473 // PP_1989 // PP_1992 // PP_1470 // PP_0664 // PP_0121 // PP_1471 // PP_0662 // PP_5128 // PP_3511 // PP_4678 // PP_4680 // PP_4679 // PP_3365 // PP_1394 // PP_1157 // PP_5149 // PP_4430 // PP_3446 // PP_3191
superpathway of L-methionine biosynthesis (by sulfhydrylation)	aspC // tyrB // PP_4692 // lysC // asd1 // asd2 // hom // PP_0664 // PP_4637 // metE // PP_2528 // metX // metH // PP_0860 // cysI // cysH // cysD // cysNC	aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase // aspartokinase // aspartate-semialdehyde dehydrogenase // homoserine dehydrogenase // homoserine dehydrogenase // 5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase family protein // 5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase // O-acetylhomoserine (thiol)-lyase // homoserine O-acetyltransferase // cobalamin-dependent methionine synthase // sulfite reductase flavoprotein subunit // sulfite reductase hemoprotein subunit beta // phosphoadenosine phosphosulfate reductase // sulfate adenylyltransferase // sulfate adenylyltransferase subunit 1/adenylyl-sulfate kinase	PP_3786 // PP_1972 // PP_4692 // PP_4473 // PP_1989 // PP_1992 // PP_1470 // PP_0664 // PP_4637 // PP_2698 // PP_2528 // PP_5097 // PP_2375 // PP_0860 // PP_2371 // PP_2328 // PP_1303 // PP_1304
superpathway of L-serine and glycine biosynthesis I	serC // serA // serB // PP_1721 // glyA-II // glyA-I	3-phosphoserine/phosphohydroxythreonine aminotransferase // bifunctional D-3-phosphoglycerate dehydrogenase/alpha-ketoglutarate reductase // phosphoserine phosphatase // phosphoserine phosphatase // serine hydroxymethyltransferase // serine hydroxymethyltransferase	PP_1768 // PP_5155 // PP_4909 // PP_1721 // PP_0671 // PP_0322
superpathway of L-threonine biosynthesis	lysC // asd1 // asd2 // hom // PP_0664 // thrB // thrC // PP_0662 // aspC // tyrB // PP_4692	aspartokinase // aspartate-semialdehyde dehydrogenase // homoserine dehydrogenase // homoserine dehydrogenase // homoserine kinase // threonine synthase // threonine synthase // aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_4473 // PP_1989 // PP_1992 // PP_1470 // PP_0664 // PP_0121 // PP_1471 // PP_0662 // PP_3786 // PP_1972 // PP_4692
superpathway of ornithine degradation	speC // prr // patD // PP_3598 // spuA // kauB // puuB // puuA-II // puuA-I	"ornithine decarboxylase // gamma-aminobutyraldehyde dehydrogenase // medium chain aldehyde dehydrogenase // peptidase C26 // &gamma;-glutamyl-&gamma;-aminobutyrate hydrolase // 4-guanidinobutyraldehyde dehydrogenase // gamma-glutamylputrescine oxidase // glutamate-putrescine ligase // glutamate-putrescine ligase"	PP_0864 // PP_2801 // PP_1481 // PP_3598 // PP_2179 // PP_5278 // PP_2448 // PP_5299 // PP_2178
superpathway of polyisoprenoid biosynthesis	uppS // uppP // ispA // ispB // dxs // dxr // ispF // ispH // ispE // ispD	(2E,6E)-farnesyl-diphosphate specific ditrans,polycis-undecaprenyl-diphosphate synthase // undecaprenyl-diphosphatase // farnesyl diphosphate synthase // nonaprenyl diphosphate synthase // 1-deoxyxylulose-5-phosphate synthase // 1-deoxy-D-xylulose-5-phosphate reductoisomerase // 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase // 4-hydroxy-3-methylbut-2-enyl diphosphate reductase // 4-diphosphocytidyl-2C-methyl-D-erythritol kinase // 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PP_1595 // PP_2862 // PP_0528 // PP_0687 // PP_0527 // PP_1597 // PP_1618 // PP_0606 // PP_0723 // PP_1614
superpathway of putrescine biosynthesis	speA // speB // speC // PP_4523	biosynthetic arginine decarboxylase // agmatinase // ornithine decarboxylase // agmatinase	PP_0567 // PP_2196 // PP_0864 // PP_4523
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	pdxY // pdxH // epd // dxs // pdxJ // pdxB // serC // pdxA	pyridoxamine kinase // pyridoxine/pyridoxamine 5'-phosphate oxidase // D-erythrose 4-phosphate dehydrogenase // 1-deoxyxylulose-5-phosphate synthase // pyridoxine 5'-phosphate synthase // erythronate-4-phosphate dehydrogenase // 3-phosphoserine/phosphohydroxythreonine aminotransferase // 4-hydroxythreonine-4-phosphate dehydrogenase	PP_5357 // PP_1129 // PP_4964 // PP_0527 // PP_1436 // PP_2117 // PP_1768 // PP_0402
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	mazG // rdgB // dut // gmk // PP_3363 // PP_1964 // nrdA // nrdB // thyA // carA // carB // pyrB // pyrC' // pyrC // pyrE // pyrF // pyrD // pyrH // cmk // ndk // pyrG	modified nucleoside triphosphate pyrophosphohydrolase // dITP/XTP pyrophosphatase // deoxyuridine 5'-triphosphate nucleotidohydrolase // deoxyguanylate kinase/guanylate kinase // thymidylate kinase // dGMP/dTMP/dhydroxyCMP kinase // ribonucleoside-diphosphate reductase // thymidylate synthase // carbamoyl-phosphate synthase // aspartate carbamoyltransferase // dihydroorotase-like protein // dihydroorotase // orotate phosphoribosyltransferase // orotidine 5'-phosphate decarboxylase // dihydroorotate dehydrogenase // uridylate kinase // cytidylate kinase // nucleoside diphosphate kinase // CTP synthase	PP_1657 // PP_5100 // PP_5286 // PP_5296 // PP_3363 // PP_1964 // PP_1179 // PP_1177 // PP_5141 // PP_4724 // PP_4723 // PP_4998 // PP_4999 // PP_1086 // PP_5291 // PP_1815 // PP_2095 // PP_1593 // PP_1771 // PP_0849 // PP_1610
superpathway of pyrimidine nucleobases salvage	pyrH // cmk // ndk // pyrG // pyrR // upp	uridylate kinase // cytidylate kinase // nucleoside diphosphate kinase // CTP synthase // pyrimidine operon regulatory protein/uracil phosphoribosyltransferase // uracil phosphoribosyltransferase	PP_1593 // PP_1771 // PP_0849 // PP_1610 // PP_4997 // PP_0746
superpathway of pyrimidine ribonucleotides de novo biosynthesis	carA // carB // pyrB // pyrC' // pyrC // pyrE // pyrF // pyrD // pyrH // cmk // ndk // pyrG	carbamoyl-phosphate synthase // aspartate carbamoyltransferase // dihydroorotase-like protein // dihydroorotase // orotate phosphoribosyltransferase // orotidine 5'-phosphate decarboxylase // dihydroorotate dehydrogenase // uridylate kinase // cytidylate kinase // nucleoside diphosphate kinase // CTP synthase	PP_4724 // PP_4723 // PP_4998 // PP_4999 // PP_1086 // PP_5291 // PP_1815 // PP_2095 // PP_1593 // PP_1771 // PP_0849 // PP_1610
superpathway of sulfate assimilation and cysteine biosynthesis	PP_0860 // cysI // cysH // cysD // cysNC // PP_1110 // cysE // PP_0385 // PP_0228 // cysK // cysM // serC // serA // serB // PP_1721	sulfite reductase flavoprotein subunit // sulfite reductase hemoprotein subunit beta // phosphoadenosine phosphosulfate reductase // sulfate adenylyltransferase // sulfate adenylyltransferase subunit 1/adenylyl-sulfate kinase // serine acetyltransferase // serine acetyltransferase // serine acetyltransferase // serine acetyltransferase // cysteine synthase A // cysteine synthase B // 3-phosphoserine/phosphohydroxythreonine aminotransferase // bifunctional D-3-phosphoglycerate dehydrogenase/alpha-ketoglutarate reductase // phosphoserine phosphatase // phosphoserine phosphatase	PP_0860 // PP_2371 // PP_2328 // PP_1303 // PP_1304 // PP_1110 // PP_0840 // PP_0385 // PP_0228 // PP_4571 // PP_1654 // PP_1768 // PP_5155 // PP_4909 // PP_1721
superpathway of tetrahydrofolate biosynthesis	folP // folC // folA // folM // folK // PP_0393 // folB // folEB // folEA-II // folEA-I // pabB // pabC	dihydropteroate synthase // bifunctional folypolyglutamate synthase/dihydrofolate synthase // dihydrofolate reductase // bifunctional dihydrofolate reductase/dihydromonapterin reductase // 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase // 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase // dihydroneopterin aldolase // GTP cyclohydrolase I // GTP cyclohydrolase I // GTP cyclohydrolase I // aminodeoxychorismate synthase/para-aminobenzoate synthase // 4-amino-4-deoxychorismate lyase	PP_4717 // PP_1997 // PP_5132 // PP_4632 // PP_4698 // PP_0393 // PP_0392 // PP_3324 // PP_2512 // PP_1823 // PP_2329 // PP_1917
superpathway of tetrahydrofolate biosynthesis and salvage	folP // folC // folA // folM // folK // PP_0393 // folB // folEB // folEA-II // folEA-I // pabB // pabC // purN // folD-II // folD-I	dihydropteroate synthase // bifunctional folypolyglutamate synthase/dihydrofolate synthase // dihydrofolate reductase // bifunctional dihydrofolate reductase/dihydromonapterin reductase // 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase // 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase // dihydroneopterin aldolase // GTP cyclohydrolase I // GTP cyclohydrolase I // GTP cyclohydrolase I // aminodeoxychorismate synthase/para-aminobenzoate synthase // 4-amino-4-deoxychorismate lyase // phosphoribosylglycinamide formyltransferase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	PP_4717 // PP_1997 // PP_5132 // PP_4632 // PP_4698 // PP_0393 // PP_0392 // PP_3324 // PP_2512 // PP_1823 // PP_2329 // PP_1917 // PP_1664 // PP_2265 // PP_1945
superpathway of thiamine diphosphate biosynthesis I	thiD // thiC // thiL // thiE // PP_1348	phosphomethylpyrimidine kinase // phosphomethylpyrimidine synthase // thiamin monophosphate kinase // thiamine-phosphate synthase // MutT/nudix family protein/thiamine-phosphate pyrophosphorylase	PP_4782 // PP_4922 // PP_0519 // PP_4783 // PP_1348
superpathway of thiamine diphosphate biosynthesis II	thiD // thiC // thiL // thiE // PP_1348 // thiO // thiG // dxs // moeB // iscS-II // csdA // iscS-I	phosphomethylpyrimidine kinase // phosphomethylpyrimidine synthase // thiamin monophosphate kinase // thiamine-phosphate synthase // MutT/nudix family protein/thiamine-phosphate pyrophosphorylase // glycine oxidase // thiazole synthase // 1-deoxyxylulose-5-phosphate synthase // molybdopterin synthase adenylyltransferase subunit // cysteine desulfurase // cysteine desulfurase // cysteine desulfurase	PP_4782 // PP_4922 // PP_0519 // PP_4783 // PP_1348 // PP_0612 // PP_5104 // PP_0527 // PP_0735 // PP_2435 // PP_1529 // PP_0842
syringate degradation	glllA // gllB // gllC // PP_1699 // gllD // maeB // PP_1389 // eda	gallate dioxygenase // 4-oxalmesaconate hydratase // 4-hydroxy-4-methyl-2-oxoglutarate aldolase aldolase // 2-pyrone-4,6-dicarboxylic acid hydrolase // 4-oxalomesaconate tautomerase // malic enzyme B // oxaloacetate decarboxylase // KHG/KDPG aldolase	PP_2518 // PP_2515 // PP_2514 // PP_1699 // PP_2513 // PP_5085 // PP_1389 // PP_1024
TCA cycle I (prokaryotic)	fumC2 // fumC1 // sucD // sucC // sucA // lpdG // sucB // gltA // acnB // acnA2 // acnA1 // mqo3 // mqo2 // mqo1 // idh // icd // mdh // sdhC // sdhA // sdhB // sdhD	class 2 fumarate hydratase // class 2 fumarate hydratase // succinyl-CoA synthetase // 2-oxoglutarate dehydrogenase system // citrate synthase // aconitate hydratase B // aconitate hydratase // aconitate hydratase // malate:quinone oxidoreductase // malate:quinone oxidoreductase // malate:quinone oxidoreductase // NADP(+)-specific isocitrate dehydrogenase // malate dehydrogenase // succinate dehydrogenase	PP_1755 // PP_0944 // PP_4185 // PP_4186 // PP_4189 // PP_4187 // PP_4188 // PP_4194 // PP_2339 // PP_2336 // PP_2112 // PP_2925 // PP_1251 // PP_0751 // PP_4012 // PP_4011 // PP_0654 // PP_4193 // PP_4191 // PP_4190 // PP_4192
tetrahydrofolate biosynthesis	folP // folC // folA // folM	dihydropteroate synthase // bifunctional folypolyglutamate synthase/dihydrofolate synthase // dihydrofolate reductase // bifunctional dihydrofolate reductase/dihydromonapterin reductase	PP_4717 // PP_1997 // PP_5132 // PP_4632
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	purN // folD-II // folD-I	phosphoribosylglycinamide formyltransferase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	PP_1664 // PP_2265 // PP_1945
tetrahydromonapterin biosynthesis	folM // folEB // folEA-II // folEA-I	bifunctional dihydrofolate reductase/dihydromonapterin reductase // GTP cyclohydrolase I // GTP cyclohydrolase I // GTP cyclohydrolase I	PP_4632 // PP_3324 // PP_2512 // PP_1823
tetrahydropteridine recycling	nfnB	6,7-dihydropteridine reductase	PP_2432
tetrapyrrole biosynthesis I (from glutamate)	hemD // hemC // hemBB // hemB // hemL // hemA // gltX // PP_t26 // PP_t28 // PP_t20 // PP_t30 // PP_t22	uroporphyrinogen-III synthase // porphobilinogen deaminase // porphobilinogen synthase // 5-aminolevulinate dehydratase // glutamate-1-semialdehyde 2,1-aminomutase // glutamyl-tRNA reductase // glutamate--tRNA ligase	PP_0187 // PP_0186 // PP_3322 // PP_2913 // PP_4784 // PP_0732 // PP_1977 // PP_t26 // PP_t28 // PP_t20 // PP_t30 // PP_t22
thiamine diphosphate biosynthesis	thiL // thiE // PP_1348	thiamin monophosphate kinase // thiamine-phosphate synthase // MutT/nudix family protein/thiamine-phosphate pyrophosphorylase	PP_0519 // PP_4783 // PP_1348
thiamine diphosphate biosynthesis I (E. coli)	thiL // thiE // PP_1348	thiamin monophosphate kinase // thiamine-phosphate synthase // MutT/nudix family protein/thiamine-phosphate pyrophosphorylase	PP_0519 // PP_4783 // PP_1348
thiamine salvage I	thiL	thiamin monophosphate kinase	PP_0519
thiamine triphosphate metabolism	ygiF	thiamine triphosphatase	PP_5187
thiazole biosynthesis II (aerobic bacteria)	thiO // thiG // dxs // moeB // iscS-II // csdA // iscS-I	glycine oxidase // thiazole synthase // 1-deoxyxylulose-5-phosphate synthase // molybdopterin synthase adenylyltransferase subunit // cysteine desulfurase // cysteine desulfurase // cysteine desulfurase	PP_0612 // PP_5104 // PP_0527 // PP_0735 // PP_2435 // PP_1529 // PP_0842
thioredoxin pathway	trxB	thioredoxin reductase	PP_0786
thiosulfate disproportionation IV (rhodanese)	rhdA // glpE	thiosulfate sulfurtransferase RhdA // thiosulfate sulfurtransferase GlpE	PP_4907 // PP_0398
thymine degradation	pydA // pydX // pydB // hyuC // PP_0614	NADP-dependent dihydropyrimidine dehydrogenase // bifunctional D-hydantoinase/dihydropyrimidinase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase	PP_4038 // PP_4037 // PP_4036 // PP_4034 // PP_0614
trehalose biosynthesis IV	treSB // treSA	bifunctional trehalose synthase B/maltokinase // trehalose synthase A	PP_4059 // PP_2918
trehalose biosynthesis V	treY // treZ // glgX	maltooligosyl trehalose synthase // malto-oligosyltrehalose trehalohydrolase // glycogen debranching enzyme	PP_4053 // PP_4051 // PP_4055
tRNA charging	argS // cysS // glnS // gltX // ileS // leuS // valS // alaS // aspS // tyrS // trpS // thrS // serS // proS // pheT // pheS // lysS // hisS // glyQ // glyS // metG // PP_t54 // PP_t57 // PP_t74 // PP_t53 // PP_t56 // PP_t37 // PP_t55 // PP_t58 // PP_t61 // PP_t69 // PP_t41 // PP_t26 // PP_t28 // PP_t20 // PP_t30 // PP_t22 // PP_t35 // PP_t50 // PP_t05 // PP_t46 // PP_t39 // PP_t47 // PP_t45 // PP_t68 // PP_t48 // PP_t42 // PP_t15 // PP_t43 // PP_t17 // PP_t31 // PP_t36 // PP_t25 // PP_t51 // PP_t27 // PP_t06 // PP_t29 // PP_t63 // PP_t07 // PP_t16 // PP_t34 // PP_t18 // PP_t32 // PP_t33 // PP_t01 // PP_t04 // PP_t73 // PP_t03 // PP_t12 // PP_t19 // PP_t60 // PP_t52 // PP_t14 // PP_t10 // PP_t62 // PP_t44 // PP_t08 // PP_t72 // PP_t71 // PP_t67 // PP_t49 // PP_t66 // PP_t70 // PP_t65 // PP_t13 // PP_t09 // PP_t11 // PP_t40 // PP_t38 // PP_t59 // PP_t21 // PP_t02 // PP_t23 // PP_t24 // PP_t64	arginine--tRNA ligase // cysteine--tRNA ligase // glutamine--tRNA ligase // glutamate--tRNA ligase // isoleucine--tRNA ligase // leucine--tRNA ligase // valine--tRNA ligase // alanine--tRNA ligase // aspartate--tRNA ligase // tyrosine--tRNA ligase // tryptophan--tRNA ligase // threonine--tRNA ligase // serine--tRNA ligase // proline--tRNA ligase // phenylalanine--tRNA ligase // lysine--tRNA ligase // histidine--tRNA ligase // glycine-tRNA ligase // methionine--tRNA ligase	PP_5089 // PP_2905 // PP_2904 // PP_1977 // PP_0603 // PP_4794 // PP_0977 // PP_4474 // PP_1213 // PP_0436 // PP_1311 // PP_2465 // PP_4000 // PP_1205 // PP_2470 // PP_2469 // PP_1496 // PP_0854 // PP_0061 // PP_0060 // PP_1097 // PP_t54 // PP_t57 // PP_t74 // PP_t53 // PP_t56 // PP_t37 // PP_t55 // PP_t58 // PP_t61 // PP_t69 // PP_t41 // PP_t26 // PP_t28 // PP_t20 // PP_t30 // PP_t22 // PP_t35 // PP_t50 // PP_t05 // PP_t46 // PP_t39 // PP_t47 // PP_t45 // PP_t68 // PP_t48 // PP_t42 // PP_t15 // PP_t43 // PP_t17 // PP_t31 // PP_t36 // PP_t25 // PP_t51 // PP_t27 // PP_t06 // PP_t29 // PP_t63 // PP_t07 // PP_t16 // PP_t34 // PP_t18 // PP_t32 // PP_t33 // PP_t01 // PP_t04 // PP_t73 // PP_t03 // PP_t12 // PP_t19 // PP_t60 // PP_t52 // PP_t14 // PP_t10 // PP_t62 // PP_t44 // PP_t08 // PP_t72 // PP_t71 // PP_t67 // PP_t49 // PP_t66 // PP_t70 // PP_t65 // PP_t13 // PP_t09 // PP_t11 // PP_t40 // PP_t38 // PP_t59 // PP_t21 // PP_t02 // PP_t23 // PP_t24 // PP_t64
tRNA processing	rnr // rnpA // rnd // pnp // rph // rne	exoribonuclease R // ribonuclease P protein component // ribonuclease D // polyribonucleotide nucleotidyltransferase // ribonuclease PH // ribonuclease E	PP_4880 // PP_0008 // PP_4591 // PP_4708 // PP_5294 // PP_1905
tRNA-uridine 2-thiolation (bacteria)	mnmC // mnmA // iscS-II // csdA // iscS-I // tusA-I // tusA-II // tusE // tusD // mnmG // mnmE // selU	methyltransferase/FAD-dependent oxidoreductase // tRNA 2-thiouridine(34) synthase MnmA // cysteine desulfurase // cysteine desulfurase // cysteine desulfurase // sulfur transfer protein TusA1 // sulfur transfer protein TusA2 // sulfur transfer protein TusE // sulfur transfer protein complex subunit TusD // 5-carboxymethylaminomethyluridine-tRNA synthase // tRNA 2-selenouridine synthase	PP_1751 // PP_4014 // PP_2435 // PP_1529 // PP_0842 // PP_1233 // PP_2116 // PP_3996 // PP_3993 // PP_0004 // PP_0005 // PP_0822
two-component alkanesulfonate monooxygenase	msuE // ssuE // ssuD	FMN reductase // NAD(P)H-dependent FMN reductase subunit // alkanesulfonate monooxygenase	PP_2764 // PP_0236 // PP_0238
ubiquinol-9 biosynthesis (prokaryotic)	ubiB // ubiH // ubiD // ubiG // ubiE // visC // ubiA	2-nonaprenylphenol hydroxylase // 2-nonaprenyl-6-methoxyphenyl hydroxylase // 3-nonaprenyl-4-hydroxybenzoate carboxy-lyase // ubiquinone biosynthesis O-methyltransferase // ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE // 3-demethoxyubiquinol 3-hydroxylase // 4-hydroxybenzoate nonaprenyltransferase	PP_5013 // PP_5199 // PP_5213 // PP_1765 // PP_5011 // PP_5197 // PP_5318
UDP-?-D-galactose biosynthesis	galE	UDP-glucose 4-epimerase	PP_3129
UDP-?-D-glucose biosynthesis I	galU // pgm // algC	UTP-glucose-1-phosphate uridylyltransferase // phosphoglucomutase // phosphomannomutase/phosphoglucomutase	PP_3821 // PP_3578 // PP_5288
UDP-?-D-glucuronate biosynthesis (from UDP-glucose)	udg	UDP-glucose 6-dehydrogenase	PP_2926
UDP-N-acetyl-D-glucosamine biosynthesis I	glmU // glmS // glmM // pgi-2 // pgi-1	bifunctional N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase // L-glutamine/D-fructose-6-phosphate aminotransferase // phosphoglucosamine mutase // glucose 6-phosphate isomerase // glucose 6-phosphate isomerase	PP_5411 // PP_5409 // PP_4716 // PP_4701 // PP_1808
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	murA // murB // murF // murC // murD // murI // murE // PP_5673 // ddlA // ddlB	UDP-N-acetylglucosamine 1-carboxyvinyltransferase // UDP-N-acetylenolpyruvoylglucosamine reductase // D-alanyl-D-alanine-adding enzyme // UDP-N-acetylmuramate--L-alanine ligase // UDP-N-acetylmuramoylalanine--D-glutamate ligase // glutamate racemase // UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase // D-alanine--D-alanine ligase // D-alanine--D-alanine ligase A // D-alanine--D-alanine ligase B	PP_0964 // PP_1904 // PP_1333 // PP_1338 // PP_1335 // PP_0736 // PP_1332 // PP_5673 // PP_4346 // PP_1339
UMP biosynthesis I	carA // carB // pyrB // pyrC' // pyrC // pyrE // pyrF // pyrD	carbamoyl-phosphate synthase // aspartate carbamoyltransferase // dihydroorotase-like protein // dihydroorotase // orotate phosphoribosyltransferase // orotidine 5'-phosphate decarboxylase // dihydroorotate dehydrogenase	PP_4724 // PP_4723 // PP_4998 // PP_4999 // PP_1086 // PP_5291 // PP_1815 // PP_2095
unsaturated, even numbered fatty acid ?-oxidation	PP_4030 // PP_3732 // PP_3726 // PP_1845 // PP_2217 // fadB // fadH	"enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase // fatty acid oxidation complex, &alpha; component // 2,4-dienoyl-CoA reductase"	PP_4030 // PP_3732 // PP_3726 // PP_1845 // PP_2217 // PP_2136 // PP_2008
uracil degradation I (reductive)	pydA // pydX // pydB // hyuC // PP_0614	NADP-dependent dihydropyrimidine dehydrogenase // bifunctional D-hydantoinase/dihydropyrimidinase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase	PP_4038 // PP_4037 // PP_4036 // PP_4034 // PP_0614
urate conversion to allantoin I	puuD // pucL // pucM	uricase/urate oxidase // 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase // 5-hydroxyisourate hydrolase	PP_3099 // PP_4287 // PP_4285
urea cycle	argF // arcB // argG // argH // PP_4523 // carA // carB	ornithine carbamoyltransferase // ornithine carbamoyltransferase // argininosuccinate synthase // argininosuccinate lyase // agmatinase // carbamoyl-phosphate synthase	PP_1079 // PP_1000 // PP_1088 // PP_0184 // PP_4523 // PP_4724 // PP_4723
urea degradation I	ybgJ	allophanate hydrolase subunit 1	PP_4576
urea degradation II	ureC // ureB // ureA	urease	PP_2845 // PP_2844 // PP_2843
UTP and CTP de novo biosynthesis	pyrH // cmk // ndk // pyrG	uridylate kinase // cytidylate kinase // nucleoside diphosphate kinase // CTP synthase	PP_1593 // PP_1771 // PP_0849 // PP_1610
UTP and CTP dephosphorylation I	pyrG // PP_2531 // PP_0094 // yrfG // ushA // surE	CTP synthase // 5-nucleotidase // 5'-nucleotidase // purine nucleotidase // 5'-nucleotidase/2',3'-cyclic phosphodiesterase // 5'-nucleotidase SurE	PP_1610 // PP_2531 // PP_0094 // PP_0259 // PP_1414 // PP_1620
vanillin and vanillate degradation II	vdh // vanB // vanA	vanillin dehydrogenase // vanillate monooxygenase	PP_3357 // PP_3737 // PP_3736
xanthine and xanthosine salvage	xpt // PP_3254	xanthine phosphoribosyltransferase // nucleosidase	PP_5265 // PP_3254
